# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
1.106665806538987273e-01 4.789651727378633761e-01 5.155655258908726779e-01 1.029937167392980246e+00 -3.414993379499143167e+00 -3.890573170631602906e+00
2.546370475910406217e+00 3.171538063609348868e+00 2.251659269521284479e+00 -1.258606476542934161e+01 -1.204652132050730806e+01 -1.785441212388176879e+00
-1.202880199890524748e+00 1.514447774003674585e+00 -8.325895769131670399e-01 9.278040320423004417e+00 -8.528180746349546482e+00 -7.087955920494593443e+00
2.311787824307486583e-01 -1.577481437209270032e+00 1.771998766185325369e+00 -6.153011213548104763e+00 6.851486296845072932e-01 7.040933483012017380e-01
-1.713665472115154520e-01 -6.325427723241820732e-02 1.662822137643562015e-01 -1.672006172248362077e+01 3.919905691600156672e+01 -9.354250559159537071e-01
-2.653098241127026524e-01 -3.339249618485866551e-03 -8.590452701063587826e-01 4.708671498379062292e+00 1.593267010509839743e+01 -9.113429558120877516e+00
-5.338760775174222761e-01 -4.109214279074839549e-02 2.234772795536250189e+00 5.687197229344231886e+00 -6.258699818963190609e+00 6.234215295273204838e+00
-2.405205578981047254e-01 -3.897230077465391740e-01 -1.829534643417543904e+00 7.404398142425388407e+00 7.202277375470760745e+00 -4.183484829272713590e+00
7.335407652511785059e-01 -5.418963528481200997e-01 -8.017019799784106393e-01 -6.781447941777532407e+00 1.793921164594621365e+00 -7.681821634237226526e+00
-5.442282399100881740e+00 2.079510977373274727e+00 1.186795939385025145e+00 5.100903850332977107e+00 9.432341870128931660e+00 -1.026681496063045707e+00
7.793288028734193240e-01 -8.842718418698429506e-02 1.127996334161452507e+00 5.500046017557198574e+00 -1.889764958035172171e+01 -3.474662320413005823e+00
-5.607245392607679291e-01 3.859759768697816895e-01 -5.605054894851803082e-01 -5.227503538421320428e+00 1.221695900341913088e+01 -1.391378647100705024e-01
-1.664148977560487630e+00 -1.985539604072775077e+00 -2.110367696159300088e+00 1.334421153147308559e+01 -6.145044973512367115e+00 -1.567211375016758979e+01
-6.792381227795086795e-01 3.640303366318757838e-01 1.862762221545419539e-01 6.229299965662972838e+00 1.311503065178193239e+01 6.520683699715439374e+00
5.406629235393812793e-01 -1.715395284530967679e+00 9.657087993433342010e-01 -1.062772483722374162e+01 -1.457881727324822574e+00 2.203893974563024827e+00
1.251694847614960582e-02 -1.860712239242015287e-01 -5.898916618251758281e-01 -2.510823262941138001e+00 -5.688764459078113234e+00 -7.291255562854336958e+00
4.104939736811926920e+00 -1.472436748697887599e-01 -5.146250897451701611e+00 1.761939561273407762e+01 4.493547842987348773e+00 1.322360859393162613e+00
-3.565283521146204393e+00 1.213833803815686174e+00 -3.281525061293872891e-01 2.704629445777120011e+01 -1.955392786775236402e+01 -3.012140039948239867e+00
1.581294209849742338e-01 -6.593404021169809726e-01 3.880837234728451990e-01 -4.571898809088506432e+00 -6.408279890860174355e+00 -1.025227601833467395e+00
-4.086901535285231701e-01 5.721972413461096085e-01 -4.319275042204310244e-01 7.230807910078020484e+00 1.974360233680777554e+01 7.186513636844449771e+00
-1.385562556590377525e+00 -1.710584114292928559e+00 -8.198868812975920184e-01 -3.532297763936170121e+00 -1.470668749839873168e+00 1.823005020527611597e+00
-8.828074377070630474e-01 5.771041384232054872e-02 5.661508212230261794e-01 1.388234881069643478e+01 -9.659295234318733492e+00 9.794836973485786302e+00
-3.357827515414746888e-01 9.663734565011216082e-01 -1.226859528184914283e-01 6.958397130745425763e+00 3.860137556730029118e+00 1.269566263499858394e+01
5.876514567711334930e-02 4.728199900405651301e-01 -8.204416310130865364e-01 2.234571774062407812e+00 2.930730890305661518e+01 -8.491453439369676559e+00
1.242056835840122803e-01 -1.145268396836636726e-01 -4.161213435425576423e-01 1.144734199159610988e+01 1.105125139511083887e+01 1.674889938620001573e+01
-1.101706401592752904e+00 -9.610617435127676300e-01 -9.383975088548434096e-01 8.688346711558851965e+00 -9.214921505156614678e-01 2.374157431699316145e+00
-3.150598780027842327e-01 8.229923833829935198e-01 7.679154133842329699e-01 2.894973557942830844e+00 1.928897586663969577e+01 1.215605195019944773e+01
-1.294963672462008164e+00 4.958033972379607413e+00 3.517931264453549645e+00 1.528832960649176442e+01 1.096403947485424624e+01 -3.025669939247839224e+00
-1.005398500993827327e+00 -2.638356735665063901e-01 2.916588986428350627e-01 -6.636819587849043245e+00 -1.342723801240058457e+01 1.399030879555958684e+01
4.075765923095180931e-01 6.281138941867843439e-02 3.018132384130160495e-01 6.515504234719784904e+00 -4.358154956637819488e+00 7.859913887676039934e-03
-3.919571939266365046e+00 -2.960761348643476065e+00 2.367736381788598798e+00 5.700728282377353295e+00 -1.425654724350045299e+01 -1.462127126291915324e+00
-1.246052523764376474e+00 -7.496271154287855731e-01 -4.672663037691551224e-01 2.929558811828507636e+00 1.301582469342708492e+01 -1.315806281449448356e+01
3.219521426856112090e+00 -2.409086638090508270e+00 -1.992484107724194764e-01 1.172075639804816305e+01 4.605994315614290180e+00 9.463959771232632434e+00
-1.016781756703410977e-01 -8.664589427443297742e-02 -7.426268816071893708e-01 2.279667065574716656e+00 -8.792341275835502401e+00 1.748651738369781050e+00
2.531975403177891271e-01 -1.522671514824819050e-01 -1.022578635429227445e+00 -2.914485671554302382e+00 1.865482382952349028e+01 -1.044288960086211837e+01
-1.752025953131414848e+00 -7.650556307806319900e-01 -1.143185560733511519e+00 -1.848851215171810125e+01 -8.371762449231633596e+00 5.872955313066437810e+00
1.824006908216830314e-01 -8.919301589676967845e-01 1.071397839835668497e+00 -3.508650083059527969e+00 5.763253879963881054e-02 4.342893570467889930e+00
8.362248059028444258e-01 5.083444061464882369e-01 -3.296276565198028030e-01 -1.434865830387946684e+00 7.293932746347980611e+00 -4.529751629594889195e+00
-7.549111332930518170e-01 2.969020107744773096e+00 1.386711061709949844e+00 -5.507225178417058942e-01 -5.652434465631371197e+00 4.014940284797238412e+00
5.679618182868353404e-01 5.666411565604235756e-01 -3.969916603601904015e-01 -4.287184679673568866e+00 -1.522447512388025448e+00 -1.962807885785423068e+01
3.693338192070456660e-01 -8.810772663314504760e-02 9.245825900988614565e-01 3.789419780373394886e+00 -8.841257559963388246e+00 1.442939044209079569e+01
-7.392286867742535739e-01 -2.669779564998768784e-01 8.375603915906185692e-01 3.276647201770458651e+00 8.808612278193278300e+00 8.161283173020576598e+00
1.881860088242474305e+00 1.732433093135875124e+00 3.854437950843078831e+00 -4.071820819613352072e-01 -7.828922795804182932e+00 -7.075908450722398157e+00
-1.131552497575148752e+00 -1.186235972285494267e+00 6.976629032594150459e-01 5.904474739512417081e+00 5.728993854660592966e+00 -2.694611722771207862e+00
-2.949911182264459281e-02 9.216270220612721165e-02 4.996072407397561532e-01 -3.449600654526402632e+00 1.438667118147233381e+01 1.333238095943573676e+01
-2.071077887665669692e+00 6.072329635163025152e-01 -1.086675731775644388e-01 -7.647756935801300671e+00 8.070718948836963946e+00 -9.274598813999707758e+00
