# x[kpc] y[kpc] z[kpc] vx[km/s] vy[km/s] vz[km/s]
-8.236381942221449037e-01 3.583926551482359280e-01 5.038084875344688296e-01 4.059549539950335628e-01 1.992785354208231752e+01 8.783339155172924961e+00
1.455670374796121658e-01 1.198173179967669144e+00 5.619817278671703775e+00 -2.417254663910370915e+00 8.851355638620646005e+00 -7.180569957822870109e+00
7.660687990000585312e-01 2.522496511409011877e+00 -2.280049373411664748e-01 -2.310680813154259994e+01 -1.081943289072172121e+01 -2.250142515241303265e+00
1.485233499655374434e+00 2.475023949865762241e-01 -5.652359792634403801e-01 7.563780192213428677e+00 -2.343083902830506915e+01 -3.852994842320033975e+00
9.898360151186350597e-01 2.616894362042867517e-01 6.003559668676810013e-01 -7.528326533300288226e+00 6.362156256103301821e-01 1.971177218378388574e+01
1.738485249267836874e+00 1.842217269856844863e+00 5.705091498122342841e+00 4.690793564833189322e+00 -1.248372643159256690e+01 -8.113328235553844081e+00
4.714238501171328366e-01 -1.208920579446110533e-01 -2.352172821962096039e-01 -5.608942761582683900e+00 7.242363176587638840e+00 1.425674441536345327e+01
1.160366165812559469e+00 6.691191532294781252e-01 -1.548502104185127459e+00 2.357881112622669306e+00 1.182055271637480587e+01 2.733439587860411635e+01
-8.337368755436493084e-02 -1.590245942794548950e-01 -4.998402795546025290e-01 -8.703141416170213418e+00 2.378469433510483899e-01 4.167656812587123838e+00
1.483617247998293698e-01 4.784003156737960394e-01 5.894642220486060250e-03 -7.904212583968731387e+00 -6.873816863458396931e+00 9.978446189415070222e+00
-1.205296485122181016e+00 -8.563807330195900569e-01 3.009903469528544484e+00 2.454754088066158246e+00 -4.132321411926504595e+00 -3.043770286548510562e+00
-5.111469822221286208e-01 8.592849532169063442e-01 -4.365865306003809815e-02 1.371843582360235914e+01 6.784529728420372052e+00 4.016681322939301246e+00
9.994114214936132834e-01 -1.556144822715592457e-01 2.299930879563470310e+00 -2.719325013611748609e+00 2.915257195805604162e+00 1.155243403212419295e+01
-8.458421766410332276e-01 -1.377494428233513535e+00 2.203853461105879319e+00 6.337786433662545349e+00 2.443542399280898891e+00 -2.445542030265162481e+00
-5.552097659013907061e-01 -2.426387283203566003e-01 -7.592383607002899382e-01 -8.937685343617017608e+00 1.432953491715224636e+01 -2.548833226954346109e+00
1.188478910352537138e-01 -3.939537295370238584e-02 -3.226517990952598725e-01 -2.089425608282527946e+01 -5.809601158248362651e+00 -3.215822796583712950e+00
-2.845102621668697207e+00 2.614813645327064062e+00 4.828072985127821681e+00 -8.404788257083300351e+00 -4.877760368569134641e+00 -4.016185031635315816e+00
-8.831364805481538571e-01 1.242775727935222951e+00 -7.222696457244889290e-01 -5.769547619672893646e+00 7.833762056278809283e+00 -6.987705504923017230e+00
2.572920133829244560e-01 7.152893124588863838e-01 -2.087271641105435116e-01 -7.434313990256956828e+00 1.088374726397410441e+01 3.089285522732412304e+00
-6.065234064287688964e-02 -8.483282181447487913e-01 -4.673354009062421488e-01 -1.755615433157539584e+01 1.060205820301476143e+00 6.026866469633436196e+00
1.013939029818633930e+00 7.486360963864540086e-01 2.374400174160221866e+00 -2.982891705865834631e+00 -1.332941206894756547e+01 1.005939120396686981e+01
-7.951683675950909080e-01 4.724217622902834313e-01 -3.259941815800685427e-01 -5.493623935975402439e+00 -1.980062743137428427e+01 -2.269986347925937231e+00
-5.717890364636737388e-01 2.646696948597276541e-02 8.607275497623778637e-01 5.817283336902502100e+00 -3.989171341683211747e+00 7.092185865447474313e+00
4.218500096333339111e-01 8.503651817434171312e-02 3.391825736086926946e-01 -1.870551080467786420e+01 -2.038839837544889022e+01 -6.167161607648179888e+00
3.574813469330500038e+00 2.365304113469449021e+00 3.595712666591613926e-01 -8.266278525536304045e+00 -1.658913992698861506e+01 1.024113699540928479e+01
-9.523153650403789472e-01 -9.523425885048042439e-01 1.023039086979376178e+00 6.959994304358701811e+00 6.574823179759490266e+00 9.747575630105039579e+00
-3.880159975377352466e-01 1.308108261154014906e+00 -4.135573460507998012e-01 2.785652846421646345e+00 -1.094508839352743124e+01 1.022375821886413583e+01
-9.206691908084983778e-02 -3.508363785714408989e-01 -3.407546002132502139e-01 1.332061501000772630e+01 1.073182046095646314e+01 -1.124485306663184225e+01
9.731208743121441129e-01 4.137210441671592687e-01 1.807658153682144969e-02 -1.149653309101114296e+01 -1.069898452177904602e+01 -5.624061358219409890e+00
-8.390976637355046508e-01 1.347020710938063637e+00 1.717903909265729556e+00 -1.260650538717116298e+01 1.650841714237980540e-01 5.930715905230268703e+00
8.781093964799887575e-01 5.311955209051379967e-01 -1.492398026283444645e+00 -1.003954166131484804e+00 1.002285600118443298e+01 7.700210840237192933e+00
-3.131966639509596195e+00 1.073886799558944283e+00 2.580410609547161283e+00 9.603200538995951163e+00 5.340765018294499455e+00 4.122600835845498857e+00
2.586286735264625714e-01 4.468012303789573592e-01 -4.637971568880560058e-01 2.416361832998657366e+00 3.496782473710906558e+00 1.274770152694606118e+01
-1.241752777820001423e-02 7.177893871521241753e-03 2.756750021515314564e-01 7.556255283620832763e+00 -8.904949525234318486e+00 -1.296346053389054020e+01
-1.925389814286228685e+00 -1.622259537491181902e+00 -7.451793866089210239e-01 6.639699667672417149e+00 -6.099731489323429123e+00 -6.150959140604488340e-01
-1.091036591492508395e-01 -6.313601815390782468e-01 1.512855924275075648e+00 2.709027618808913296e+00 -7.744679664312791090e+00 -1.774990176003178632e+01
-2.909811172124854295e+00 2.072394081318718939e+00 5.978344499548865487e-01 2.586786037537921246e+00 -1.687388406882510239e+01 1.091595686845574287e+00
